SI_DO_NAME,SI_GUN_GU_NAME,UP_MYUN_DONG_NAME,final_category,final_score,final_general
서울특별시,중랑구,묵동,CAMPUS,0.5710999999999999,False
경기도,부천시,중동,RESIDENTIAL,0.6560892857142857,False
경상남도,창원시 마산회원구,양덕동,RESIDENTIAL,0.61225,False
경기도,파주시,목동동,OFFICE,0.6352,False
대전광역시,서구,만년동,CAMPUS,0.5158,True
대구광역시,달성군,유가읍,CAMPUS,0.6804,False
서울특별시,성북구,정릉동,CAMPUS,0.623325,False
대구광역시,북구,고성동3가,GENERAL,0.4203,True
제주특별자치도,서귀포시,남원읍,TOURIST,0.7533,False
대구광역시,달서구,진천동,RESIDENTIAL,0.6886,False
서울특별시,종로구,신문로2가,TOURIST,0.6479647058823529,False
제주특별자치도,서귀포시,법환동,TOURIST,0.6778235294117647,False
대구광역시,수성구,만촌동,RESIDENTIAL,0.7386333333333334,False
경기도,이천시,창전동,TOURIST,0.6549,False
경상북도,포항시 남구,오천읍,TOURIST,0.6364,False
세종특별자치시,,조치원읍,RESIDENTIAL,0.6562708333333334,False
서울특별시,중구,인현동1가,NIGHTLIFE,0.6285866666666667,False
울산광역시,남구,무거동,TOURIST,0.6443,False
경기도,용인시 처인구,양지면,RESIDENTIAL,0.6022,False
제주특별자치도,제주시,일도이동,TOURIST,0.6590692307692307,False
